# North Rhine-Westphalia: InVeKoS crop code -> render group.
# Read off the Teilschlaege WFS, see tools/gen_crop_codes.py.
# Columns: code, render group, detail label (as the service writes it),
# InVeKoS group, share of the sampled parcels in per mille.
911,sugar-beet,Rübensamenvermehrung,SF,0.00
912,grassland,Grassamenvermehrung,SF,0.23
913,fallow,Wildsamenvermehrung,SF,0.39
914,other,Versuchsflächen beihilfef. Kul,SF,0.54
915,fallow,Randstreifen (Acker/DK),SF,31.20
917,maize,Mais-Mischkulturen,SF,0.03
918,fallow,Mehrjährige Buntbrachen (AUM),PA,15.63
919,maize,Saatmais (Saatgutvermehrung),SF,0.00
924,fallow,Vertragsnaturs. ohne DZ,SF,3.36
956,other,Aufforstung,SF,0.05
972,grassland,NFF: Dauergrünlandnutzung,SF,0.12
973,other,NFF: Ackernutzung,SF,0.02
983,orchard,Weihnachtsbäume,DA,1.24
994,other,Unbefestigte Mieten DGL,SF,0.44
995,other,Forstflächen,SF,0.37
996,other,Unbefestigte Mieten AL,SF,0.84
999,other,Gattung/Art (nicht in Liste),SF,0.02
